trial,raw_file,toggle_index,toggle_s,first_event_s,anchor,anchor_s,window_us,n_events_in_window,burst_duration_us,dt_mean_us,dt_median_us,dt_p95_us,iei_cv
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,0,2.0,2.00002,first_event,2.00002,250.0,7,231.9999999995659,38.66666666659432,23.999999999801958,88.5000000001579,0.9075911854026947
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,1,3.0,3.000126,first_event,3.000126,250.0,10,208.00000000020802,23.111111111134225,19.999999999686935,47.80000000010885,0.6784810523966808
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,2,4.0,4.000033999999999,first_event,4.000033999999999,250.0,7,242.0000000000755,40.33333333334591,18.999999999547157,100.00000000021103,0.9939713090360468
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,3,5.0,5.000019,first_event,5.000019,250.0,43,239.99999999979593,5.714285714280855,3.5000000000451337,17.899999999881892,1.0653637876395696
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,4,6.0,6.000013999999999,first_event,6.000013999999999,250.0,38,249.00000000016576,6.72972972973421,4.000000000559112,19.40000000004715,1.0413926431036364
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,5,7.0,7.000006,first_event,7.000006,250.0,49,248.00000000002598,5.166666666667208,4.999999999810711,11.649999999852055,0.7963888319728111
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,6,8.0,8.000002,first_event,8.000002,250.0,52,227.99999999989495,4.470588235292058,2.9999999995311555,11.999999999900979,1.096140294719121
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,7,9.0,9.000002,first_event,9.000002,250.0,83,245.99999999885824,2.999999999986076,2.000000000279556,9.000000000281005,0.9599006271896426
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,8,10.0,10.0,first_event,10.0,250.0,54,249.00000000016576,4.698113207550297,2.9999999995311555,16.80000000057191,1.1267476063340838
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,9,11.0,11.000002,first_event,11.000002,250.0,64,246.9999999998862,3.9206349206331144,2.9999999995311555,11.69999999994786,1.0928624683752368
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,0,2.0,2.000043,first_event,2.000043,250.0,4,185.00000000010175,61.666666666700586,32.000000000032,126.50000000005156,0.8702870570814368
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,1,3.0,3.0000009999999997,first_event,3.0000009999999997,250.0,9,209.0000000003478,26.125000000043475,16.000000000016,81.75000000005812,1.2483454400761549
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,2,4.0,4.000029,first_event,4.000029,250.0,9,227.99999999989495,28.49999999998687,14.999999999876223,68.34999999982826,0.9027845845760457
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,3,5.0,5.000001999999999,first_event,5.000001999999999,250.0,54,250.00000000030553,4.716981132081236,2.9999999995311555,13.800000000152576,1.1205712828785104
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,4,6.0,6.000005,first_event,6.000005,250.0,60,238.99999999965615,4.050847457621291,3.000000000419334,10.099999999635395,0.8286843002608127
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,5,7.0,7.000004,first_event,7.000004,250.0,50,244.00000000035504,4.97959183674194,3.9999999996709334,13.799999999619654,0.9715967624206081
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,6,8.0,8.000001,first_event,8.000001,250.0,62,249.00000000016576,4.081967213117472,2.9999999995311555,11.00000000064938,0.903980291824249
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,7,9.0,9.000008,first_event,9.000008,250.0,83,244.99999999960664,2.9878048780439834,2.000000000279556,7.94999999937929,0.9993000465849393
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,8,10.0,10.000008,first_event,10.000008,250.0,67,246.9999999998862,3.7424242424225183,2.000000000279556,12.500000000414957,1.1396671244305918
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,9,11.0,11.000007,first_event,11.000007,250.0,75,249.00000000016576,3.364864864867105,2.9999999995311555,9.350000000107878,0.9251690696945598
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,0,2.0,2.000026,first_event,2.000026,250.0,10,197.00000000000273,21.88888888888919,10.9999999997612,70.60000000000952,1.24881350063717
