receiver,power_trials,mean_active_minus_idle_power_w,power_reading_sample_std_w,shared_symbol_rate_hz,estimated_incremental_j_per_tx_symbol,estimated_j_per_tx_symbol_sample_std,cfk_captures,symbols_scored,symbol_errors,aggregate_symbol_match_rate,estimated_incremental_j_per_correct_symbol,power_source,packet_match_source,scope
EVK4,3,0.027000000000000024,0.0010000000000000009,1000.0,2.7000000000000023e-05,1.0000000000000008e-06,2,16862,1818,0.8921836081129166,3.0262829034831188e-05,s32_energy_evk4_ook_synced_300hz_50cm_per_trial.csv,s32_evk4_packet_match_7_14_500_200000_summary.csv; s32_7_15_evk4_packet_match_200kcycles_repeat_summary.csv,"Derived receiver sensing estimate; excludes transmitter, BeagleBone, and decode-compute energy"
Pixel 7a,2,0.004,0.004242640687119285,1000.0,4e-06,4.242640687119285e-06,3,706,24,0.9660056657223796,4.140762463343109e-06,docs/pixel7a/pixel7a_notes.md,s32_pixel7a_packet_match_7_14_500_200000_widestripe_summary.csv; s32_7_15_pixeltest5_packet_match_200kcycles_repeat_summary.csv; s32_7_15_pixeltest6_packet_match_200kcycles_repeat_wide_summary.csv,"Derived receiver sensing estimate; excludes transmitter, BeagleBone, and decode-compute energy"
