video,frame_index,time_s,roi_mean_luma,roi_mean_blue_excess,row_contrast,row_fft_peak_ratio,saturated_fraction
7-1T5.mp4,0,0.0,0.0,0.0,0.0,0.0,0.0
7-1T5.mp4,1,0.03332276867030965,0.0,0.0,0.0,0.0,0.0
7-1T5.mp4,2,0.0666455373406193,0.0,0.0,0.0,0.0,0.0
7-1T5.mp4,3,0.09996830601092896,0.1176736131310463,0.0,0.0,0.0,0.0
7-1T5.mp4,4,0.1332910746812386,0.15013888478279114,0.0,0.0,0.0,0.0
7-1T5.mp4,5,0.16661384335154827,0.3865451514720917,0.0,0.0,0.0,0.0
7-1T5.mp4,6,0.19993661202185792,0.5062326192855835,0.0,0.0,0.0,0.0
7-1T5.mp4,7,0.23325938069216756,0.43414929509162903,0.0,0.0,0.0,0.0
7-1T5.mp4,8,0.2665821493624772,0.3148263990879059,0.0,0.0,0.0,0.0
7-1T5.mp4,9,0.29990491803278685,0.35364583134651184,0.0,0.0,0.0,0.0
7-1T5.mp4,10,0.33322768670309655,0.4813888967037201,0.0,0.0,0.0,0.0
7-1T5.mp4,11,0.3665504553734062,0.4868749976158142,0.0,0.0,0.0,0.0
7-1T5.mp4,12,0.39987322404371584,0.45710068941116333,0.0,0.0,0.0,0.0
7-1T5.mp4,13,0.4331959927140255,0.34810763597488403,0.0,0.0,0.0,0.0
7-1T5.mp4,14,0.4665187613843351,0.34368056058883667,0.0,0.0,0.0,0.0
7-1T5.mp4,15,0.49984153005464477,0.3585590422153473,0.0,0.0,0.0,0.0
7-1T5.mp4,16,0.5331642987249544,0.3194270730018616,0.0,0.0,0.0,0.0
7-1T5.mp4,17,0.5664870673952641,0.3737500011920929,0.0,0.0,0.0,0.0
7-1T5.mp4,18,0.5998098360655737,0.16083332896232605,0.0,0.0,0.0,0.0
7-1T5.mp4,19,0.6331326047358834,0.2846180498600006,0.0,0.0,0.0,0.0
7-1T5.mp4,20,0.6664553734061931,0.29499998688697815,0.0,0.0,0.0,0.0
7-1T5.mp4,21,0.6997781420765027,0.21246527135372162,0.0,0.0,0.0,0.0
7-1T5.mp4,22,0.7331009107468124,0.3331597149372101,0.0,0.0,0.0,0.0
7-1T5.mp4,23,0.766423679417122,0.3357291519641876,0.0,0.0,0.0,0.0
7-1T5.mp4,24,0.7997464480874317,0.20291666686534882,0.0,0.0,0.0,0.0
7-1T5.mp4,25,0.8330692167577413,0.1489757001399994,0.0,0.0,0.0,0.0
7-1T5.mp4,26,0.866391985428051,0.15685763955116272,0.0,0.0,0.0,0.0
7-1T5.mp4,27,0.8997147540983607,0.09534722566604614,0.0,0.0,0.0,0.0
7-1T5.mp4,28,0.9330375227686702,0.09199652820825577,0.0,0.0,0.0,0.0
7-1T5.mp4,29,0.96636029143898,0.07185763865709305,0.0,0.0,0.0,0.0
7-1T5.mp4,30,0.9996830601092895,0.028090277686715126,0.0,0.0,0.0,0.0
7-1T5.mp4,31,1.0330058287795991,0.030954862013459206,0.0,0.0,0.0,0.0
7-1T5.mp4,32,1.0663285974499088,0.05086805671453476,0.0,0.0,0.0,0.0
7-1T5.mp4,33,1.0996513661202185,0.058993056416511536,0.0,0.0,0.0,0.0
7-1T5.mp4,34,1.1329741347905282,0.034756943583488464,0.0,0.0,0.0,0.0
7-1T5.mp4,35,1.166296903460838,0.09439235925674438,0.0,0.0,0.0,0.0
7-1T5.mp4,36,1.1996196721311474,0.054375000298023224,0.0,0.0,0.0,0.0
7-1T5.mp4,37,1.232942440801457,0.022465277463197708,0.0,0.0,0.0,0.0
7-1T5.mp4,38,1.2662652094717668,0.021510416641831398,0.0,0.0,0.0,0.0
7-1T5.mp4,39,1.2995879781420765,0.016371527686715126,0.0,0.0,0.0,0.0
7-1T5.mp4,40,1.3329107468123862,0.08592014014720917,0.0,0.0,0.0,0.0
7-1T5.mp4,41,1.3662335154826957,0.047534722834825516,0.0,0.0,0.0,0.0
7-1T5.mp4,42,1.3995562841530054,0.023315971717238426,0.0,0.0,0.0,0.0
7-1T5.mp4,43,1.432879052823315,0.017638888210058212,0.0,0.0,0.0,0.0
7-1T5.mp4,44,1.4662018214936248,0.09489583224058151,0.0,0.0,0.0,0.0
7-1T5.mp4,45,1.4995245901639342,0.03192708268761635,0.0,0.0,0.0,0.0
7-1T5.mp4,46,1.532847358834244,0.023420138284564018,0.0,0.0,0.0,0.0
7-1T5.mp4,47,1.5661701275045536,0.02178819477558136,0.0,0.0,0.0,0.0
7-1T5.mp4,48,1.5994928961748633,0.015260417014360428,0.0,0.0,0.0,0.0
7-1T5.mp4,49,1.632815664845173,0.026059027761220932,0.0,0.0,0.0,0.0
7-1T5.mp4,50,1.6661384335154825,0.015225694514811039,0.0,0.0,0.0,0.0
7-1T5.mp4,51,1.6994612021857922,0.017951389774680138,0.0,0.0,0.0,0.0
7-1T5.mp4,52,1.732783970856102,0.05244791507720947,0.0,0.0,0.0,0.0
7-1T5.mp4,53,1.7661067395264116,0.033906251192092896,0.0,0.0,0.0,0.0
7-1T5.mp4,54,1.7994295081967213,0.04479166492819786,0.0,0.0,0.0,0.0
7-1T5.mp4,55,1.8327522768670308,0.043177083134651184,0.0,0.0,0.0,0.0
7-1T5.mp4,56,1.8660750455373405,0.00824652798473835,0.0,0.0,0.0,0.0
7-1T5.mp4,57,1.8993978142076502,0.049184028059244156,0.0,0.0,0.0,0.0
7-1T5.mp4,58,1.93272058287796,0.006475694477558136,0.0,0.0,0.0,0.0
7-1T5.mp4,59,1.9660433515482696,0.005572916474193335,0.0,0.0,0.0,0.0
7-1T5.mp4,60,1.999366120218579,0.007916666567325592,0.0,0.0,0.0,0.0
7-1T5.mp4,61,2.032688888888889,0.011961805634200573,0.0,0.0,0.0,0.0
7-1T5.mp4,62,2.0660116575591982,0.0051215277053415775,0.0,0.0,0.0,0.0
7-1T5.mp4,63,2.099334426229508,0.0005555555690079927,0.0,0.0,0.0,0.0
7-1T5.mp4,64,2.1326571948998176,0.0,0.0,0.0,0.0,0.0
7-1T5.mp4,65,2.1659799635701273,0.024930555373430252,0.0,0.0,0.0,0.0
7-1T5.mp4,66,2.199302732240437,0.014895833097398281,0.0,0.0,0.0,0.0
7-1T5.mp4,67,2.2326255009107467,0.01838541589677334,0.0,0.0,0.0,0.0
7-1T5.mp4,68,2.2659482695810564,0.0014756944729015231,0.0,0.0,0.0,0.0
7-1T5.mp4,69,2.299271038251366,0.0046701389364898205,0.0,0.0,0.0,0.0
7-1T5.mp4,70,2.332593806921676,0.0049652778543531895,0.0,0.0,0.0,0.0
7-1T5.mp4,71,2.3659165755919855,0.0022395832929760218,0.0,0.0,0.0,0.0
7-1T5.mp4,72,2.399239344262295,0.006215277593582869,0.0,0.0,0.0,0.0
7-1T5.mp4,73,2.4325621129326045,0.001336805522441864,0.0,0.0,0.0,0.0
7-1T5.mp4,74,2.465884881602914,0.0024652776774019003,0.0,0.0,0.0,0.0
7-1T5.mp4,75,2.499207650273224,0.0017534722574055195,0.0,0.0,0.0,0.0
7-1T5.mp4,76,2.5325304189435336,0.010937499813735485,0.0,0.0,0.0,0.0
7-1T5.mp4,77,2.5658531876138433,0.019496528431773186,0.0,0.0,0.0,0.0
7-1T5.mp4,78,2.599175956284153,0.008020833134651184,0.0,0.0,0.0,0.0
7-1T5.mp4,79,2.6324987249544627,0.025104166939854622,0.0,0.0,0.0,0.0
7-1T5.mp4,80,2.6658214936247724,0.004305555485188961,0.0,0.0,0.0,0.0
7-1T5.mp4,81,2.6991442622950816,0.0033506944309920073,0.0,0.0,0.0,0.0
7-1T5.mp4,82,2.7324670309653913,0.0023611111100763083,0.0,0.0,0.0,0.0
7-1T5.mp4,83,2.765789799635701,0.0024479166604578495,0.0,0.0,0.0,0.0
7-1T5.mp4,84,2.7991125683060107,0.005590277723968029,0.0,0.0,0.0,0.0
7-1T5.mp4,85,2.8324353369763204,0.041440971195697784,0.0,0.0,0.0,0.0
7-1T5.mp4,86,2.86575810564663,0.026024306192994118,0.0,0.0,0.0,0.0
7-1T5.mp4,87,2.89908087431694,0.020190972834825516,0.0,0.0,0.0,0.0
7-1T5.mp4,88,2.9324036429872495,0.004253472201526165,0.0,0.0,0.0,0.0
7-1T5.mp4,89,2.9657264116575592,0.0029513889458030462,0.0,0.0,0.0,0.0
7-1T5.mp4,90,2.9990491803278685,0.0013888889225199819,0.0,0.0,0.0,0.0
7-1T5.mp4,91,3.032371948998178,0.00876736082136631,0.0,0.0,0.0,0.0
7-1T5.mp4,92,3.065694717668488,0.0024479166604578495,0.0,0.0,0.0,0.0
7-1T5.mp4,93,3.0990174863387976,0.0005034722271375358,0.0,0.0,0.0,0.0
7-1T5.mp4,94,3.1323402550091073,105.92047119140625,123.13571166992188,0.12288464219149535,14.160902976989746,0.8185590277777778
7-1T5.mp4,95,3.165663023679417,97.47857666015625,137.05538940429688,0.1535010313319137,14.581228256225586,0.8375347222222222
7-1T5.mp4,96,3.1989857923497267,102.3094711303711,132.92462158203125,0.14562505212284318,12.856868743896484,0.84453125
7-1T5.mp4,97,3.2323085610200364,105.30953216552734,127.5052261352539,0.16643008511285853,12.335001945495605,0.8377430555555555
7-1T5.mp4,98,3.265631329690346,21.20136070251465,37.63064956665039,0.18000949085084988,11.868561744689941,0.1831076388888889
7-1T5.mp4,99,3.298954098360656,22.45370864868164,38.89121627807617,0.22160645012053054,12.33615779876709,0.18414930555555556
7-1T5.mp4,100,3.332276867030965,18.827911376953125,39.10386276245117,0.19415475733885443,11.978492736816406,0.17583333333333334
7-1T5.mp4,101,3.3655996357012747,16.88075828552246,44.71912384033203,0.1789003517235508,13.483880996704102,0.17911458333333333
7-1T5.mp4,102,3.3989224043715844,17.753253936767578,42.78339385986328,0.2078657431505146,17.16765022277832,0.17789930555555555
7-1T5.mp4,103,3.432245173041894,114.96464538574219,113.8486557006836,0.11052843088756181,11.665610313415527,0.8215798611111111
7-1T5.mp4,104,3.465567941712204,115.05111694335938,110.32747650146484,0.021360151290733494,11.356504440307617,0.8144791666666666
7-1T5.mp4,105,3.4988907103825135,111.21427154541016,111.44564819335938,0.02340642266449173,19.31569480895996,0.7947222222222222
7-1T5.mp4,106,3.5322134790528232,10.750218391418457,54.89390563964844,0.013088099166788025,9.539316177368164,0.19119791666666666
7-1T5.mp4,107,3.565536247723133,10.672197341918945,54.877899169921875,0.016812888889483266,11.995671272277832,0.20555555555555555
7-1T5.mp4,108,3.5988590163934426,11.691617965698242,61.11103439331055,0.013882760246778694,13.72598934173584,0.23395833333333332
7-1T5.mp4,109,3.632181785063752,11.112929344177246,62.99213409423828,0.01559138028259963,11.864995002746582,0.22416666666666665
7-1T5.mp4,110,3.6655045537340616,11.031044960021973,62.56224822998047,0.013550186074774359,11.176923751831055,0.22001736111111111
