truth_bits,payload_bits,preamble_bits,frame_bits,payload_bits_count,preamble_bits_count,frame_bits_count,requested_frequency_hz,actual_frequency_hz,symbols_per_bit,message_repeats,guard_bits,target_duration_s,duration_pad_symbols,total_symbols,duration_s,output_file
10110010110,10110010110,10101010101010101010101010101010,1010101010101010101010101010101010110010110,11,32,43,100.0,100.0,10000,22,20,10.0,140000,10000000,10.0,s31_synced_replication_100Hz_10s_symbols.txt
10110010110,10110010110,10101010101010101010101010101010,1010101010101010101010101010101010110010110,11,32,43,1000.0,1000.0,1000,231,20,10.0,27000,10000000,10.0,s31_synced_replication_1000Hz_10s_symbols.txt
10110010110,10110010110,10101010101010101010101010101010,1010101010101010101010101010101010110010110,11,32,43,1500.0,1499.2503748125937,667,347,20,10.0,21013,10000000,10.0,s31_synced_replication_1500Hz_10s_symbols.txt
