truth_bits,requested_frequency_hz,actual_frequency_hz,symbols_per_bit,message_repeats,guard_bits,total_symbols,duration_s,output_file
10110010110,500.0,500.0,2000,128,20,2896000,2.896,s31_replication_500Hz_symbols.txt
10110010110,1000.0,1000.0,1000,128,20,1448000,1.448,s31_replication_1000Hz_symbols.txt
10110010110,1500.0,1499.2503748125937,667,128,20,965816,0.965816,s31_replication_1500Hz_symbols.txt
10110010110,2000.0,2000.0,500,128,20,724000,0.724,s31_replication_2000Hz_symbols.txt
10110010110,2500.0,2500.0,400,128,20,579200,0.5791999999999999,s31_replication_2500Hz_symbols.txt
10110010110,3000.0,3003.003003003003,333,128,20,482184,0.482184,s31_replication_3000Hz_symbols.txt
