trial_id,status,sensor_type,modulation,csk_scheme,symbol_rate_hz,actual_symbol_rate_hz,bit_rate_hz,bits_per_symbol,symbol_alphabet,lux,lighting_source,visibility_condition,distance_cm,angle_deg,truth_symbols,decoded_symbols,symbols_transmitted,symbols_scored,symbol_errors,bits_transmitted,bits_scored,bit_errors,capture_file,symbol_file,decode_log_file,energy_j,notes
s34_csk_ratio4_1000hz_los_t1,planned,EVK4,CSK,ratio_4state,1000,,2000,2,1234,540,artificial_room,LOS,50,0,1234123412341234,,2048,2048,,4096,4096,,,s34_csk_ratio4_1000Hz_symbols.txt,,,,"Planned first 4-state RGB-ratio CSK trial; generated symbols use PRU chars 1..4."
s34_csk_ratio4_1000hz_los_t2,planned,EVK4,CSK,ratio_4state,1000,,2000,2,1234,540,artificial_room,LOS,50,0,1234123412341234,,2048,2048,,4096,4096,,,s34_csk_ratio4_1000Hz_symbols.txt,,,,"Repeat for basic trial variance."
s34_csk_ratio4_1500hz_los_t1,planned,EVK4,CSK,ratio_4state,1500,,3000,2,1234,540,artificial_room,LOS,50,0,1234123412341234,,2048,2048,,4096,4096,,,s34_csk_ratio4_1500Hz_symbols.txt,,,,"Planned higher-symbol-rate ratio-CSK trial."
s34_csk_ratio4_300hz_los_t1,recorded_pending_decode,EVK4,CSK,ratio_4state,300,300.03000300030004,600.0600060006001,2,1234,440,artificial_room,LOS,50,0,1234123412341234,,2960,,,5920,,,captures/3.4/s34_csk_ratio4_300hz_50cm/s34_csk_ratio4_300hz_los_t1.raw,pru1_pwm_CSK_1000Hz/userspace/s34_csk_ratio4_300Hz_10s_symbols.txt,,,"Recorded 2026-05-30; 4-state RGB-ratio CSK at 300 Hz symbol rate, 50 cm, direct line-of-sight; pending decoded symbols or symbol error counts."
s34_csk_ratio4_300hz_los_t2,recorded_pending_decode,EVK4,CSK,ratio_4state,300,300.03000300030004,600.0600060006001,2,1234,440,artificial_room,LOS,50,0,1234123412341234,,2960,,,5920,,,captures/3.4/s34_csk_ratio4_300hz_50cm/s34_csk_ratio4_300hz_los_t2.raw,pru1_pwm_CSK_1000Hz/userspace/s34_csk_ratio4_300Hz_10s_symbols.txt,,,"Recorded 2026-05-30; repeat trial for 4-state RGB-ratio CSK at 300 Hz, 50 cm, direct line-of-sight; pending decoded symbols or symbol error counts."
s34_csk_ratio4_300hz_los_t3,recorded_pending_decode,EVK4,CSK,ratio_4state,300,300.03000300030004,600.0600060006001,2,1234,440,artificial_room,LOS,50,0,1234123412341234,,2960,,,5920,,,captures/3.4/s34_csk_ratio4_300hz_50cm/s34_csk_ratio4_300hz_los_t3.raw,pru1_pwm_CSK_1000Hz/userspace/s34_csk_ratio4_300Hz_10s_symbols.txt,,,"Recorded 2026-05-30; repeat trial for 4-state RGB-ratio CSK at 300 Hz, 50 cm, direct line-of-sight; pending decoded symbols or symbol error counts."
s34_csk_spatial_rgb_1000hz_los_t1,planned,EVK4,CSK,spatial_rgb,1000,,1000,,RGB,540,artificial_room,LOS,50,0,RGBRGBRGBRGB,,1536,1536,,,,,,s34_csk_spatial_rgb_1000Hz_symbols.txt,,,,"Planned spatially separated RGB trial; BER needs explicit bit mapping or bit_errors."
s34_csk_freq_channels_los_t1,planned,EVK4,CSK,frequency_encoded_channels,1000,,1000,,RGB,540,artificial_room,LOS,50,0,RGBRGBRGBRGB,,1536,1536,,,,,,s34_csk_freq_channels_1000Hz_symbols.txt,,,,"Planned frequency-encoded color-channel trial."
