trial,raw_file,toggle_index,toggle_s,first_event_s,latency_us,detected_within_window,iqr_outlier
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,16,18.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,17,19.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,18,20.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,19,21.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,20,22.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,21,23.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,22,24.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,23,25.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,24,26.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,25,27.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,26,28.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,27,29.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,28,30.0,,,0,0
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,29,31.0,,,0,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,0,2.0,2.000026,26.000000000081513,1,0
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,1,3.0,3.0000769999999997,76.99999999966067,1,1
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,2,4.0,4.0,0.0,1,0
