trial,raw_file,n_toggles,n_detected,detected_frac,latency_mean_us,latency_std_us,latency_median_us,latency_p95_us,latency_min_us,latency_max_us,iqr_outlier_count,iqr_outlier_frac,trial_mean_outlier_flag,trial_mean_modified_z
R01_s31_latency_trial1_1000Hz,R01_s31_latency_trial1_1000Hz.raw,30,12,0.4,22.66666666665233,33.11176360273556,13.999999999736445,75.39999999961461,0.0,125.99999999984846,1,0.08333333333333333,0.0,0.6745
R02_s31_latency_trial2_1000Hz,R02_s31_latency_trial2_1000Hz.raw,30,13,0.43333333333333335,13.076923076325532,13.75869816319912,7.000000000090267,38.199999999122255,0.9999999992515995,42.999999999793204,0,0.0,0.0,-1.0468976426148713
R03_s31_latency_trial3_1000Hz,R03_s31_latency_trial3_1000Hz.raw,30,11,0.36666666666666664,18.9090909087061,24.930647606468025,7.000000000090267,67.499999999443,0.0,76.99999999966067,1,0.09090909090909091,0.0,0.0
OVERALL,,90,36,0.4,18.055555555217417,25.298160280506423,7.499999999716067,62.74999999933417,0.0,125.99999999984846,2,0.05555555555555555,nan,nan
