aperture,aperture_f_number,raw_file,bias_file,capture_duration_s,analysis_start_s,analysis_end_s,analysis_duration_s,capture_events,roi_events,active_roi_events,roi_event_rate_eps,background_rate_eps,expected_edges,detected_edges,edge_detection_rate,timing_jitter_us,ber,mar,bit_errors,bits_scored,messages_scored,correct_messages,phase_s,threshold,on_fraction
C,0.0,s31_aperture_C_1500Hz_t1.raw,s31_aperture_C_1500Hz_t1.bias,14.481743,0.0,9.984323,9.984323,16508,6741,5461,546.9574652182226,826.0000000000001,10872,4189,0.38530169242089773,284242.18541065295,0.4906682721252258,0.0007358351729212656,7335,14949,1359,1,0.00043322303921568625,0.5582174137042761,0.004302032339415517
f11,11.0,s31_aperture_f11_1500Hz_t1.raw,s31_aperture_f11_1500Hz_t1.bias,14.735524,3.54216,13.539823,9.997663,77747423,63342670,63308826,6332362.473109966,2182.5573270659975,10872,1049,0.09648638704930096,49775.31772167147,0.4940798715633153,0.0007358351729212656,7386,14949,1359,1,0.0002903606965174129,1682.4133553076515,0.4879296846817477
f8,8.0,s31_aperture_f8_1500Hz_t1.raw,s31_aperture_f8_1500Hz_t1.bias,14.395809,3.44316,13.440823,9.997663,145954851,99255878,99226731,9924992.57076379,3986.7273664568315,10872,680,0.06254598969830757,63002.99302518505,0.49501638905612416,0.0014716703458425313,7400,14949,1359,2,7.940476190476189e-06,2521.9475579295436,0.4836919179738655
f5p6,5.6,s31_aperture_f5p6_1500Hz_t1.raw,s31_aperture_f5p6_1500Hz_t1.bias,15.163920999999998,3.78391,13.781573,9.997663,279174758,135254307,135210102,13524170.79871566,6926.934334057891,10872,1615,0.1485467255334805,41914.783926416116,0.49588601244230385,0.0029433406916850625,7413,14949,1359,4,0.00018160891089108908,3550.151344135684,0.48523923899887345
f4,4.0,s31_aperture_f4_1500Hz_t1.raw,s31_aperture_f4_1500Hz_t1.bias,15.035706,3.99616,13.993822999999999,9.997663,322867616,142166314,142120476,14215369.731906347,7652.31752863676,10872,2719,0.25009197939661515,175.85640499908837,0.48357749682252993,0.034584253127299486,7229,14949,1359,47,0.00021462871287128709,3576.38195270181,0.49045083211484264
f2p8,2.8,s31_aperture_f2p8_1500Hz_t1.raw,s31_aperture_f2p8_1500Hz_t1.bias,14.41185,3.26816,13.265823,9.997663,339898703,145592456,145532720,14556673.89468919,13222.976125819456,10872,5320,0.48933038999264167,3090.6352542976256,0.5012375409726403,0.0235467255334805,7493,14949,1359,32,3.3019801980198014e-05,3719.758119619719,0.5100574235796943
f2,2.0,s31_aperture_f2_1500Hz_t1.raw,s31_aperture_f2_1500Hz_t1.bias,14.223897,3.3029100000000002,13.300573,9.997663,345034640,147030378,146992662,14702702.221509168,7807.019535714557,10872,6315,0.5808498896247241,10233.931004268668,0.49421365977657367,0.0029433406916850625,7388,14949,1359,4,0.00017335396039603958,3864.7104323295553,0.5331184484882437
