frequency_hz,n_trials,decode_modes,decode_rules,reliability_labels,mar_mean,mar_std,ber_mean,ber_std,total_messages,correct_messages,pooled_mar,total_bits,bit_errors,pooled_ber
500.0,2,activity,activity,standard_analysis,0.0,0.0,0.4367897727272727,0.001420454545454558,256,0,0.0,2816,1230,0.4367897727272727
1000.0,2,activity,activity,standard_analysis,0.04296875,0.00390625,0.49893465909090906,0.011718749999999972,256,11,0.04296875,2816,1405,0.4989346590909091
1500.0,2,activity,activity,standard_analysis,0.25390625,0.01171875,0.2432528409090909,0.006747159090909088,256,65,0.25390625,2816,685,0.2432528409090909
2000.0,2,activity,activity,standard_analysis,0.2734375,0.015625,0.25497159090909094,0.010653409090909088,256,70,0.2734375,2816,718,0.2549715909090909
2500.0,2,activity,activity,standard_analysis,0.12109375,0.08203125,0.3533380681818182,0.11115056818181818,256,31,0.12109375,2816,995,0.3533380681818182
3000.0,2,activity,activity,standard_analysis,0.03125,0.0,0.4825994318181818,0.00390625,256,8,0.03125,2816,1359,0.4825994318181818
