frequency_hz,n_trials,decode_modes,decode_rules,reliability_labels,mar_mean,mar_std,ber_mean,ber_std,total_messages,correct_messages,pooled_mar,total_bits,bit_errors,pooled_ber
500.0,2,transition,hybrid_locked_transition,locked_hybrid_band,0.08203125,0.00390625,0.4822443181818182,0.0042613636363636465,256,21,0.08203125,2816,1358,0.4822443181818182
1000.0,2,transition,hybrid_locked_transition,locked_hybrid_band,0.31640625,0.01171875,0.3618607954545454,0.008877840909090912,256,81,0.31640625,2816,1019,0.36186079545454547
1500.0,2,activity,hybrid_locked_activity_15us,locked_hybrid_band,0.2578125,0.0,0.24396306818181818,0.005326704545454544,256,66,0.2578125,2816,687,0.24396306818181818
2000.0,2,activity,hybrid_locked_activity_15us,locked_hybrid_band,0.3125,0.0390625,0.24680397727272727,0.02379261363636362,256,80,0.3125,2816,695,0.24680397727272727
2500.0,2,activity,hybrid_locked_activity_15us,locked_hybrid_band,0.12109375,0.08984375,0.3575994318181818,0.11541193181818182,256,31,0.12109375,2816,1007,0.3575994318181818
3000.0,2,activity,hybrid_locked_activity_15us,unreliable_high_frequency,0.02734375,0.00390625,0.49609375,0.0010653409090908839,256,7,0.02734375,2816,1397,0.49609375
