frequency_hz,n_trials,mar_mean,mar_std,ber_mean,ber_std,total_messages,correct_messages,pooled_mar,total_bits,bit_errors,pooled_ber
500.0,2,0.08203125,0.00390625,0.4822443181818182,0.0042613636363636465,256,21,0.08203125,2816,1358,0.4822443181818182
1000.0,2,0.31640625,0.01171875,0.3618607954545454,0.008877840909090912,256,81,0.31640625,2816,1019,0.36186079545454547
1500.0,2,0.05859375,0.00390625,0.4676846590909091,0.01953125,256,15,0.05859375,2816,1317,0.4676846590909091
2000.0,2,0.00390625,0.00390625,0.4669744318181818,0.02592329545454547,256,1,0.00390625,2816,1315,0.4669744318181818
2500.0,2,0.015625,0.0,0.4641335227272727,0.004616477272727265,256,4,0.015625,2816,1307,0.4641335227272727
3000.0,2,0.02734375,0.00390625,0.4701704545454546,0.004971590909090912,256,7,0.02734375,2816,1324,0.47017045454545453
