frequency_hz,n_trials,decode_modes,decode_rules,reliability_labels,mar_mean,mar_std,ber_mean,ber_std,total_messages,correct_messages,pooled_mar,total_bits,bit_errors,pooled_ber
500.0,2,activity,activity,standard_analysis,0.0,0.0,0.4357244318181818,0.0024857954545454697,256,0,0.0,2816,1227,0.4357244318181818
1000.0,2,activity,activity,standard_analysis,0.04296875,0.00390625,0.4928977272727273,0.001420454545454558,256,11,0.04296875,2816,1388,0.4928977272727273
1500.0,2,activity,activity,standard_analysis,0.25390625,0.01171875,0.24254261363636365,0.01029829545454547,256,65,0.25390625,2816,683,0.24254261363636365
2000.0,2,activity,activity,standard_analysis,0.25390625,0.00390625,0.26029829545454547,0.011718750000000014,256,65,0.25390625,2816,733,0.26029829545454547
2500.0,2,activity,activity,standard_analysis,0.1015625,0.0703125,0.3611505681818182,0.10191761363636365,256,26,0.1015625,2816,1017,0.3611505681818182
3000.0,2,activity,activity,standard_analysis,0.03125,0.0078125,0.4790482954545454,0.0010653409090909116,256,8,0.03125,2816,1349,0.47904829545454547
