
trial,raw_file,n_toggles,n_detected,detected_frac,latency_mean_us,latency_std_us,latency_median_us,latency_p95_us,latency_min_us,latency_max_us,iqr_outlier_count,iqr_outlier_frac,trial_mean_outlier_flag,trial_mean_modified_z
R04_s31_pw_8ms,R04_s31_pw_8ms.raw,10,10,1.0,12.699999999776779,12.649505919194848,7.000000000090267,34.7499999995948,0.0,45.99999999976845,1,0.1,0.0,0.5781428571616328
R05_s31_pw_4ms,R05_s31_pw_4ms.raw,10,10,1.0,2.899999999916858,4.908156476630231,0.0,12.649999999747582,0.0,13.999999999736445,2,0.2,0.0,-0.7708571428383671
R06_s31_pw_2ms,R06_s31_pw_2ms.raw,10,10,1.0,4.299999999624049,3.163858404095244,3.4999999991569553,9.55000000000261,0.0,10.000000000065512,0,0.0,0.0,-0.5781428571616328
R07_s31_pw_1ms,R07_s31_pw_1ms.raw,10,10,1.0,19.09999999978318,16.694010902190602,11.99999999945689,44.65000000002384,0.0,46.00000000021254,0,0.0,0.0,1.459122449011841
OVERALL,,40,40,1.0,9.749999999775216,12.703838002768308,4.999999999810711,43.14999999979196,0.0,46.00000000021254,4,0.1,nan,nan

