trial_id,status,sensor_type,modulation,frequency_hz,actual_frequency_hz,lux,lighting_source,visibility_condition,scenario,distance_cm,angle_deg,bits_transmitted,bits_scored,bit_errors,active_start_s,active_end_s,capture_file,decode_log_file,total_events,raw_duration_s,active_duration_s,event_rate_per_s,max_event_gap_ms,long_event_gap_count,long_event_gap_fraction,notes
s33_evk4_ook_1500hz_lux540_los_t1,ready,EVK4,OOK,1500,1514.2413257379599,540,artificial_room,LOS,controlled_baseline,50,0,1408,1408,377,2.1,3.065816,s32_evk4_ook_1500hz_energy_t1.raw,data/3.1/replication/s32_evk4_ook_1500hz_energy_decode_summary.csv,11950906,4.883932,0.965816,12373895.234703094,,,,"Seeded from Section 3.2 receiver-only capture; use as controlled LOS reference only."
s33_evk4_ook_1500hz_lux540_los_t2,ready,EVK4,OOK,1500,1513.8493398912765,540,artificial_room,LOS,controlled_baseline,50,0,1408,1408,364,2.25,3.215816,s32_evk4_ook_1500hz_energy_t2.raw,data/3.1/replication/s32_evk4_ook_1500hz_energy_decode_summary.csv,11921195,4.507762,0.965816,12343132.646383988,,,,"Seeded from Section 3.2 receiver-only capture; use as controlled LOS reference only."
s33_evk4_ook_1500hz_lux540_los_t3,ready,EVK4,OOK,1500,1513.8493398912765,540,artificial_room,LOS,controlled_baseline,50,0,1408,1408,345,1.95,2.915816,s32_evk4_ook_1500hz_energy_t3.raw,data/3.1/replication/s32_evk4_ook_1500hz_energy_decode_summary.csv,11944741,3.795588,0.965816,12367512.03127718,,,,"Seeded from Section 3.2 receiver-only capture; use as controlled LOS reference only."
s33_evk4_ook_1500hz_low_lux_los_t1,planned,EVK4,OOK,1500,,100,artificial_room,LOS,low_lux_los,50,0,1408,1408,,,,,,,,,,,,"Planned low-lux LOS repeat."
s33_evk4_ook_1500hz_mid_lux_shadow_t1,planned,EVK4,OOK,1500,,540,artificial_room,partial_shadow,shadow_test,50,0,1408,1408,,,,,,,,,,,,"Planned partial-shadow trial at matched distance."
s33_evk4_ook_1500hz_mid_lux_reflection_t1,planned,EVK4,OOK,1500,,540,artificial_room,reflection,reflected_path,50,0,1408,1408,,,,,,,,,,,,"Planned reflection/NLOS trial."
s33_evk4_ook_1500hz_natural_los_t1,planned,EVK4,OOK,1500,,540,natural_window,LOS,natural_light_los,50,0,1408,1408,,,,,,,,,,,,"Planned natural-light LOS trial; replace lux with measured value."
