"duty_cycle_percent","tx_blue_pwm_count","n_trials","total_bits_scored","total_bit_errors","pooled_ber","mean_ber","std_ber","total_messages","total_correct_messages","pooled_mar","mean_mar","std_mar","mean_event_rate_per_s","mean_symbol_rate_hz"
"100","1000","3","2244","0","0","0","0","204","204","1","1","0","7060690.36666667","303.124650442009"
"75","750","3","2244","668","0.297682709447415","0.297682709447415","0.00540301054054462","204","58","0.284313725490196","0.284313725490196","0.0306127352862667","6765562.66666667","299.680301219837"
"50","500","3","2244","666","0.296791443850267","0.296791443850267","0.0289524168819622","204","68","0.333333333333333","0.333333333333333","0.0472727978480047","6446947.83333333","299.688328922201"
"25","250","3","2244","548","0.244206773618538","0.244206773618538","0.01003416243244","204","98","0.480392156862745","0.480392156862745","0.0169808902702831","5608406.06666667","299.688594360997"
